Latitude,Longitude
53.533018,-2.243554
53.523258,-2.247344
53.520475,-2.245533
53.533018,-2.243554
53.533018,-2.243554
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.536506,-2.243348
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.525674,-2.248233
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.528985,-2.246684
53.533018,-2.243554
53.522979,-2.247343
53.525674,-2.248233
53.528985,-2.246684
53.533018,-2.243554
53.533018,-2.243554
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.533018,-2.243554
53.533018,-2.243554
53.528985,-2.246684
53.523258,-2.247344
53.533018,-2.243554
53.528985,-2.246684
53.528985,-2.246684
53.533018,-2.243554
53.525226,-2.247205
53.528985,-2.246684
53.533018,-2.243554
53.525226,-2.247205
53.528985,-2.246684
53.533018,-2.243554
53.528985,-2.246684
53.533018,-2.243554
53.533018,-2.243554
53.520412,-2.236664
53.520412,-2.236664
53.521176,-2.231993
53.521176,-2.231993
53.521176,-2.231993
53.521176,-2.231993
53.521781,-2.235058
53.521176,-2.231993
53.524277,-2.249809
53.522817,-2.251912
53.522306,-2.251321
53.522817,-2.251912
53.519707,-2.251969
53.51821,-2.236727
53.51821,-2.236727
53.51998,-2.241247
53.521481,-2.241286
53.520148,-2.247024
53.518728,-2.238435
53.518983,-2.24557
53.520148,-2.247024
53.518983,-2.24557
53.518456,-2.239489
53.518992,-2.24103
53.51998,-2.241247
53.51998,-2.241247
53.521481,-2.241286
53.521481,-2.241286
53.515939,-2.158657
53.514352,-2.162451
53.515918,-2.160828
53.515939,-2.158657
53.515549,-2.167794
53.515549,-2.167794
53.516412,-2.168129
53.514352,-2.162451
53.514352,-2.162451
53.515549,-2.167794
53.515861,-2.17612
53.51154,-2.180671
53.508007,-2.180807
53.516221,-2.181324
53.514982,-2.180565
53.509077,-2.180675
53.511946,-2.179542
53.514982,-2.180565
53.512193,-2.182151
53.514982,-2.180565
53.51154,-2.180671
53.51537,-2.179436
53.512499,-2.182198
53.51537,-2.179436
53.516221,-2.181324
53.513086,-2.180436
53.513086,-2.180436
53.513106,-2.178838
53.508007,-2.180807
53.508007,-2.180807
53.51537,-2.179436
53.508095,-2.181893
53.514006,-2.178269
53.513106,-2.178838
53.508174,-2.1774
53.51343,-2.184675
53.515861,-2.17612
